Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
78.1-2-16,307,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1840,1890  1990,Greek Revival,1.5,wood frame,wood clapbd,,newer wood clapbd,gable,asphalt,stone,1-story side ell; 1-story rear ell,3/4 front,altered,mixed,intact,Yes,No,"5 bay/center entrance; paneled cornice returns on gable ends; horiz. attic windows; door surround w/sidelights; exposed brick endwall chimney S side; rear wall brick chimney; front porch has hipped roof, sq. columns & high railing (rebuilt); 1-story side ",NOTABLE;,barn,c1900,wood frame,converted to garage: small; 2-story; gable roof; gabled front extension to accommodate 1 24'-deep auto stall; wood clapbd siding,,,house set well back from road w/long curving drive lined by mature coniferous trees
78.1-2-19,279,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1825,1987,Federal,1.5,wood frame,wood clapbd,,wood shingles,gable,asphalt,stone,rear 1-story ell,entrance,intact-add,intact,altered,Yes,No,4 bay/center entrance; small side shed roof lean-to w/rear entrance to cellar; 2 brick endwall chimneys (1 parged w/concrete),"owner states it was built by Norwegian tenant farmer; ""P. Booth"" house on 1876 map",shed,c1980,wood frame,prefab gambrel roof w/shed roof porch,,,house set well back from Springtown Rd; long curving tree-lined driveway (deciduous trees)
78.1-2-20,277,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,asbestos shingles,,metal clapbd,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,4 bay asymm. f.f.; 3-part pic window,,,,,,,,2 mature deciduous trees in front yard
78.1-2-21,275,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1930,,Cottage,1,wood frame,wood shingle,,,front gable,asphalt,concrete block,,full front,alter-enc,intact,intact,Yes,No,3 bay/center entrance; small brick center chimney; rock-faced conc. bl. foundation,,garage,c1930,concrete block,2-stall; front gable; rock-faced concr.bl w/brick inserts along edges of o.h. doors; plywood in gable ends,,,2 mature deciduous trees in front yard
78.1-2-22,273,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1900,1920,Colonial Revival,2,wood frame,wood clapbd,,metal clapbd,gable,asphalt,stone,small rear porch,full front,intact,mixed,altered,Yes,No,5 bay/center entrance; 2-story rear ell; brick endwall chimney on N side; turned columns on fr. porch; window blinds on 1st fl.f.f.,NOTABLE; front porch under restoration Feb 2004,barn,c1900,wood frame,2-story; cross-gable; wood clapbd; 6-over-6 attic window; hay door & swing door intact; a few windows altered or added,,,
78.1-2-25,265,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1880,1900,Gothic Revival,2,wood frame,wood clapbd,,,gable,asphalt,stone,1-story side ell,full front,intact-reb,mixed,intact,Yes,No,orig. 3 bay/side passage; cross-gabled 1-story side ell w/steep roof added; 1-story box bay on S side; brick center chimney; turned columns on fr. porch w/curvilinear scroll sawn braces (prob. rebuilt);  simple articulated window surrounds,NOTABLE,barn,c1900,wood frame,converted to 3-stall garage w/o.h. doors; rear extension; wood clapbd,,,
78.1-2-26,263,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1900,1970,Ranch,1,wood frame,wood clapbd,,T-111,gable,asphalt,concrete block,side ell,,N/A,mixed,altered,No,No,L-shaped ranch w/shed roofed infilled SE corner (side ell); 6-over-6 windows; sliding glass door added,Completely altered such that all orig. architectural character is lost,garage,c1930,wood frame,2-stall; front gable,shed,c1980,
78.1-2-27,261,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1850,1950,Greek Revival,1.5,wood frame,wood clapbd,,asbestos shingles,gable,asphalt,stone,front porch added,entrance,encl-added,replaced,altered,Yes,No,orig. 5 bay/center entrance; 3 horiz. attic windows; brick endwall chimney; rear lean-to w/2nd brick chimney,NOTABLE; on 1875 map but name undertermined,garage,c1965,concrete block,2; double stalls; wood clapbd in gable ends,shed,c1970,
78.1-2-29,11,Coffey Rd,Single Family Residence,Domestic,Single Dwelling,1900,1955  1975,Colonial Revival,2,wood frame,compos- ition clapbd,,vinyl clapbd,cross-gable,asphalt & ssm,concrete block,enclosed breezeway between garage & house,1/2 front,intact-enc,mixed,altered,Yes,No,upright & wing; asymm. f.f.; conc. bl. endwall chimney;,Appears to be an older home jacked-up or moved to site & set on new conc. bl. foundation w/4 courses exposed above grade (c1955); a new hyphen/breezeway between an early garage w/swing doors (c1955); later alterations of windows & resided in vinyl; 6 outbldgs,barn,c1900,wood frame,large 2-story (raised from 1 to 2 stories by 1st fl. level of conc. bl.); gable; ssm; asphalt siding w/brick pattern,"garage, shed",c1950,close in fenced farm yard; metal gate; open fields behind house & outbldgs
78.1-2-3,391,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1951,,Ranch,1,wood frame,asbestos shingles,,,front gable,asphalt,concrete block,,entrance,intact,mixed,intact,Yes,No,brick chimney @ rear SW corner of house,unable to see arch. details due to tall privacy fence around front & no. side of house,,,,,,,cistern in S side yard; locking conc. bl. retaining wall along driveway
78.1-2-33,251,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1858,1900  1950,Queen Anne,2,wood frame,wood clapbd,,metal clapbd,gable,asphalt,stone,dormers,wrap,intact-enc,mixed,altered,Yes,No,4 bay 2nd fl.; door surround w/sidelihts w/leaded glass; stained glass transoms on 1st fl. windows; 2 endwall chimneys; triangular dormers w/multipaned windows c1920; rear 1-story ell; cobblestone porch piers; side portion of porch enclosed c1950; 1-over1,"NOTABLE; J.J. DuBois House on 1876 map; has undergone major renovation c1900 to introduce Queen Anne details (porch, stained glass windows); c1950 side portion of wrap-around porch enclosed",shed,c1950,wood frame,shed roof; wood novelty siding; 2 side lean-tos,,,low cobblestone wall w/piers along front property loine; parking area N side of house
78.1-2-34,1-3,Coffey Rd,Single Family Residence,Domestic,Single Dwelling,1900,1930,Colonial Revival,2,brick,brick,,,cross-gable,asphalt,brick,1-story side ell,entrance,intact,mixed,intact,Yes,No,5 bay/center passage; rear French door w/half side lights; entrance porch is gabled canopy w/barrel vault ceiling & 2 turned columns; lg. fully exposed brick endwall chimney (overgrown w/ivy); flared roof eaves/box gutters; soldier course brickwork over d,"NOTABLE; 2 barns & 1 outbldg on property; largest barn is sited S. across Coffey Rd from house: 2-story, gable, WF, vertical wood siding, ssm roof",barn,c1900,wood frame,small 2-story; gable roof; wood slat & B&B siding; converted to garage w/2 o.h. doors installed; apt on 2nd fl.; rear 1-story ell w/shed roof side against barn & a 2nd smaller shed-roof extension off it,outbldg,c1900,arbor in rear yard @ entrance to sunken garden up against E side of small barn
78.1-2-35,256,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1950,1975,Cape,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,1-story side vestibule; rear lean-to screened porch/ studio,entrance,altered,replaced,intact,Yes,No,3 bay/center entrance; exposed rafter ends; fr. porch is gabled canopy w/2 turned columns (replaced); added side vestibule has shed roof,,,,,,,,house sited very close to road; drainageway to Walkill River is immediately adjacent; fenced rear yard; firing kiln in back yard
78.1-2-37,250,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1830,1900  1960,Federal,2,wood frame,wood clapbd,,wood clapbd & B&B,gable,asphalt,stone,gable end fixed windows; 1-story side ell; 1-story porch extension of side ell w/deck,side,intact,mixed,altered,Yes,No,3 bay/side passage; brick center chimney; door surround w/round arched transom & sidelights; 12-over-12 windows; c1900 side ell has gable roof w/steeper pitch than orig bldg; c1960 extension has a much flatter hipped roof over the enclosed porch,overall architectural character has been lost due to reclading w/untreated wood cladding; possible G. Elting House per 1876 map,shed,c1950,wood frame,vertical boards,shed,c1960,fenced rear yard; house is sited very close to road
78.1-2-38,244,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1950,,Cape,1,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,,full front,intact/enc,intact,altered,Yes,No,3 bay/center entrance; rear enclosed 6-over-1 windows; fr. porch has hipped roof; rear porch is enclosed sunroom; conc. bl. endwall chimney,,garage,c1950,wood frame,front gable; wood novelty siding,,,split rail fence; row of short deciduous shrubs along driveway
78.1-2-39.100,242,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1959,1990,Ranch,1,wood frame,asbestos shingles,,,gable,asphalt,concrete block,front deck,full front,intact,intact,intact,Yes,No,porch is shallow roof overhang,,garage,c1959,wood frame,"double-stall; front gable; vertical wood in gable end, metal clapbd below; cupola",shed,c1990,
78.1-2-5,387,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1948,1985,Tudor Revival,2,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,large 2-story rear/side wings,,N/A,mixed,altered,No,No,"orig. house was a small brick Tudor Revival w/steeply pitched gable roof, 1 gabled dormer & projecting front gabled vestibule; now has oversized rear to side wing w/attic cupola/clerestory tower",,shed,c1980,wood frame,wood shed w/shed roof,,,mature spruce & deciduous trees
78.1-2-6,381-383,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1932,,Cottage,1,wood frame,wood clapbd,,asbestos shingles,gable,asphalt,concrete block,,1/2 front,intact,intact,altered,Yes,No,very small; 3 bay w/projecting bay & side-facing front door @ center; wood shutters w/moon design; porch is roof overhang w/sq. column supports; rock-faced conc. bl. found.,,garage,c1950,wood frame,converted to living quarters; front gable; wood clapbd siding,cottage,c1940,
78.1-2-7,7,Coffey Rd,Single Family Residence,Domestic,Single Dwelling,1890,,Gothic Revival,2,wood frame,wood clapbd,,vinyl clapbd & vertical,gable,asphalt,stone,partial enclosure of orig. wrap around porch,wrap,altered,replaced,altered,Yes,No,3 bay asymm. 1st fl.; 2 bay on 2nd fl.;sq. porch columns w/small capitals,,barn,c1890,wood frame,"2-story; hay door & 2 pairs of swing doors, 1 w/6-light windows on each door; ssm gable roof; vinyl clapbd",,,
78.1-2-7,377,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1957,1980,Ranch,1,wood frame,brick veneer,wood clapbd,,cross-gable,asphalt,concrete block,1-story side ell,entrance,intact/int,intact,intact,Yes,No,L-shaped footprint; projecting front gabled bay; 3-part pic window; entrance porch is roof overhang & recessed door; side porch is gabled canopy,,garage,c1970,wood frame,1-stall; front gable,shed,c1920,2 mature spruce trees in front yard
78.1-3-23,111,Portugese Ln,Mixed Use: Resid. & Comm,Domestic,Single Dwelling,1920,1950,Undetermined,2,wood frame,wood clapbd,,metal clapbd,front gable,asphalt,concrete block,rear lean-to,full front,altered,mixed,altered,No,Yes,3-stall tuck-under garage; 2nd story porch w/roof overhang; rear lean-to has shed roof & vertical corrugated metal siding,Orig. architectural character lost under various alterations,shed,c1950,wood frame,asbestos shingles; shed roof,shed,c1950,junk in yard; many automobiles
78.14-1-13,1,Crescent Ln,Single Family Residence,Domestic,Single Dwelling,1965,2000,Colonial Revival,2,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,2nd story; front porch,3/4 front,intact,mixed,altered,No,No,"orig. ranch, remodeled with late 20th century Col. Rev. appearance; large endwall chimney; attached 2-stall garage w/side entry; window shutters",completely remodeled,,,,,,,
78.14-1-14,14,Deer Path Dr,Single Family Residence,Domestic,Single Dwelling,1965,,Ranch,1,wood frame,wood shingle,,,cross-gable,asphalt,concrete block,solariums on front & side,,N/A,intact,intact,Yes,No,L-shaped footprint; projecting entrance bay and side wing w/gables; pedimented front door; 8-over-8 windows; massive brick endwall chimney,appears that orig. attached garage was converted to living space w/solarium in front of it,,,,,,,
78.14-1-17,20,Deer Path Dr,Single Family Residence,Domestic,Single Dwelling,1965,,Raised Ranch,1.5,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,altered,altered,Yes,No,entrance porch is roof overhang over recessed doorway; new fanlight window installed over front door; endwall chimney,,,,,,,,
78.14-1-18,19,Deer Path Dr,Single Family Residence,Domestic,Single Dwelling,1965,,Ranch,1,wood frame,vertical wood boards,,,cross-gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,L-shaped footprint; massive brick chimney; front bay,,,,,,,,privacy fence
78.14-1-2,73,Canaan Rd,Single Family Residence,Domestic,Camp,1940,1970,Cottage,1,wood frame,wood novelty siding,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,small 4 bay asymm. f.f.; conc. bl. chimney; small gable roof shed ell off rear,,,,,,,,field stone retaining wall along front property line; formed concrete retaining wall behind house (supports driveway higher up on hill)
78.14-1-27,2,Willow Dr,Single Family Residence,Domestic,Single Dwelling,1965,1980,Split Level,1.5,wood frame,board & batten,wood clapbd in gable ends,,gable,asphalt,poured concrete,rear screen/sun porch,1/2 front,intact,intact,intact,Yes,No,brick endwall chimney; 2-stall side tuck-under garage,,,,,,,,
78.14-1-28,105,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1963,1980,Ranch,1,wood frame,,,,cross-gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,L-shaped footprint; attached double garage,,,,,,,,
78.14-1-29,109,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1963,,Colonial Revival,2,wood frame,compos- ition clapbd,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,3 bay; center entrance; front door surround w/broken pediment; gabled front vestibule; attached double garage,,,,,,,,
78.14-1-34,10,Willow Dr,Single Family Residence,Agriculture,Animal Facility,1870,1950,Colonial Revival,2,wood frame,brick veneer,wood clapbd,,gable,asphalt,stone,garage wing,entrance,intact,replaced,altered,Yes,No,brick endwalls w/massive stone fireplace w/brick chimney on 1 endwall; no basement,Owner stated that this was a barn converted to a dwelling,,,,,,,
78.14-1-36.100,115,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1850,1920,Greek Revival,1.5,wood frame,wood clapbd,,,gable,asphalt,stone,side garage ell,,N/A,replaced,intact,Yes,No,5 bay; center passage; front door surround w/side lights; brick endwall shimneys; wide cornice w/horiz. attic windows,"NOTABLE; ""T. Ayres farm"" on 1876 map",garage,c1950,wood frame,double garage; wood novelty siding; cupola/vent,well house,c1850,stone retaining wall along road; orig. barns & farmland divide off from house
78.14-1-37,121,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1870,1934,Cottage,1,wood frame,wood clapbd,,,front gable,asphalt,stone,2 side ells under roof extensions,,N/A,altered,altered,Yes,No,center brick chimney; orig. 3 bay f.f. facing south,"""Tenant House"" associated w/T. Ayres farm shown on 1876 map",shed,c1970,wood frame,small; particle board siding; front gable,barn,c2003,parcel appears to have been part of larger farm
78.14-1-4,77,Canaan Rd,Single Family Residence,Domestic,Camp,1918,1930,Cottage,1,wood frame,wood clapbd,,metal clapbd,front gable,asphalt,stone,rear & side wings,entrance,altered,altered,altered,Yes,No,this appears to be a series of cabins that have been connected; picture windows have been installed; rear & side wings have conc. bl. foundations,,,,,,,,fieldstone/boulder retaining wall along front property line/road edge
78.14-1-5,81,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1850,1900,Greek Revival,2,wood frame,wood clapbd,wood novelty,,gable,ssm,stone,2 side ells,full front,intact,mixed,intact,Yes,Yes,3 bay; center passage; 2-story full front porch w/2nd fl. balcony; side ell/lean-to w/wood novelty siding; brick endwall chimney; 6-over-6 windows,,,,,,,,
78.14-1-5,2,Karin Ct,Single Family Residence,Domestic,Single Dwelling,1950,,Cape,1,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,dormers c1969,entrance,intact,intact,altered,Yes,No,porch is roof overhang; side tuck-under garage; front projecting bay w/front gable; 3-part pic window,,,,,,,,
78.14-1-6,85,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1952,1980,Cottage,1,wood frame,compos- ition clapbd,,vinyl clapbd,front gable,asphalt,concrete block,front porch; skylight,full front,intact,mixed,altered,Yes,No,extremely small 1 bay cottage oriented w/side to road; bay window on rear; massive brick rear wall chimney,,garage,c1930,wood frame,wood novelty siding; swing doors; 2 skylight installed,shed,c1990,very narrow lot w/dwelling unit squeezed betw. road & hill behind
78.15-1-1.100,,Railroad ROW,Bike Trail,Transportation,Rail related,,,,,,,,,,,,,,,,altered,Yes,No,,,,,,,,,
78.15-1-10,343,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1935,1955,Cape,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,breezeway & matching concrete block house to S w/rear lean-to,,N/A,altered,intact,Yes,No,"3 bay w/projecting front gabled entrance vestibule on end wall; pic window on front endwall;  2 brick chimneys, 1 on rear endwall; blinds on windows",endangered due to poor maintenance,,,,,,,
78.15-1-11,335,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1940,1960  1980,Undetermined,2,wood frame,Undetermined,,stucco & comp clapbd,gable,asphalt,und,2-story rear ell; 1-story rear lean-to; 1 story side ell on N; conc. bl. chimney,,N/A,altered,altered,Yes,No,"orig. 3 bay, but f.f. altered w/1 window, center entrance; 2 2nd story windows on S; 1-story side ell has T-1-11 siding & asymm. gable;",could be much older 1-pile WF house at core,garage,c1940,wood frame,1-stall; entrance door on f.f.;  asbestoes shingles,,,
78.15-1-13,330,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1820,,Undetermined,1.5,wood frame,wood clapbd,,vinyl clapbd,cross-gable,asphalt,stone,,,N/A,replaced,altered,Yes,No,intact endwall chimney,,barn,c1820,wood frame,2-story; wood novelty siding; 1-story lean-to; corrugated metal roof,,,stone wall out from N side of house; stone retaining wall @ street edge
78.15-1-14,331,Rte 32 North,Commercial,Comm/ Trade,Restaurant,1940,,Roadside,2,wood frame,wood shingle,board & batten,,gable,asphalt,concrete block,,entrance,enclosed,mixed,altered,Yes,No,"""Coqui Latin Jazz Café""",may have orig. been a motel w/attached café/restaurant; currently residential use,,,,,,,
78.15-1-17,320,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1915,1950  1980,Craftsman Cottage,1,wood frame,wood clapbd,,metal clapbd,front gable,asphalt,stone,multiple 1 & 2-story additions; dormers; vestibules,,,mixed,altered,Yes,No,,orig. details/character lost,garage,c1920,wood frame,wood siding; ssm roof,Quanset hut; 2 WF sheds; outhouse,,bluestone walkway; front picket fence w/arbor
78.15-1-19,314,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1955,1975,Split Level,1.5,wood frame,compos- ition clapbd,,,gable,asphalt,concrete block,large entrance porch; skylights,entrance,intact,intact,intact,Yes,No,pic window; endwall chimney; added front porch is screened,,shed,c1990,wood frame,,,,
78.15-1-2,101,Gun Club Rd,Single Family Residence,Domestic,Single Dwelling,1830,1900,Federal,2,wood frame,wood clapbd,,,gable,asphalt,stone,5 bay/ center entrance; 1.5-story side ell; front porch enclosed early w/6-over-1 windows & transom over front porch door,full front,enclosed,mixed,intact,Yes,No,5 bay; 6-over-1 front porch windows; transome over front porch door; 6-over-6 windows,NOTABLE,barn,c1900,wood frame,2-story; lean-to additions,shed,c1900,mature deciduous trees line 1 side of driveway
78.15-1-21,294,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1789,1900,Federal,1,stone,stone,wood clapbd & shingles,,gable,asphalt,stone,2 vestibules w/shed roofs,,intact,mixed,intact,Yes,No,"2 endwall chimneys--1 brick, 1 stone",concrete chimney added to street side endwall,barn,c1870,wood frame,gambrel roof clad w/ssm,shed,c1900,
78.15-1-25,276,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1800,1915,Federal,1.5,wood frame,brick veneer,wood shingles,,gable,asphalt,stone,"rear porch, later enclosed to become lean-to; front porch under roof extension (later enclosed)",full front,enclosed,mixed,altered,Yes,No,arched window headers w/brick soldier course; 2 endwall chimneys,NOTABLE,barn,c1850,wood frame,2-story; asbestoes shingles,shed,c1880,stone retaining wall
78.15-1-26.110,272,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1786,1850  1915,Federal,1.5,brick,brick,wood shingles,,cross-gable,asphalt,stone,roof alteration; 2-story extension off S side,full front,intact/enc,replaced,intact,Yes,No,"broken eave dormers on orig. portion; arched window headers w/soldier course; exposed rafter ends; Bungalow remodeling w/roof extension to creat porch w/cobblestone piers & battered columns, & double dormer above; 2 brick chimneys",NOTABLE; current owner Roy Hasbrouck House,barn,c1850,wood frame,wood clapbd; stone foundation,,,
78.15-1-26.200,274,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1955,1990,Ranch,2,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,2-story side ell; 1-story garage extension,,N/A,altered,altered,No,No,,orig. architectural character lost amongst additions & alterations,,,,,,,
78.15-1-27,254,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1963,1980,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,rear garage wing,,N/A,intact,intact,Yes,No,"4 bay; pic window; endwall chimney; gray brick on upper 1/2 of façade, red brick on lower 1/2; attached garage",,,,,,,,
78.15-1-28,252,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1951,,Cape,1,wood frame,brick veneer,,,cross-gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,pic window; large endwall chimney; entrance porch is roof overhang,,garage,c1951,wood frame,wood novelty siding; windows in o.h. door,,,
